ticker,ftcode
IBG,5194927
ISU,58541004
ISD,75481622
ICU,50879081
ISX,113647
ITD,170277
IGL,320714862
IXU,438993992
JIP,53283669
JKA,23974448
JDR,239760
JHX,173368
JAL,9335902
JAN,146944
JHG,146251
JHC,73902429
JAT,31923986
JHL,320852357
JAY,445460642
JBH,172287
JCI,338419468
JCS,260792
JRV,174933
JJF,381201979
JRL,174872
JLG,432204467
JYC,175403
JIN,175177
JPR,286521
JKL,271347
JVG,175256
JYG,447974452
KSC,179931
KAM,8307633
KTE,268176
K2F,9413784
KLR,58479276
KIK,291340
KAI,290929
KZR,377938230
KLH,7161053
KPO,283691
KLL,375749560
KGM,81310
KPT,41001
KRL,6908390
KAR,175807
KAS,7161054
KAT,3835502
KMD,21388093
KPC,27538556
KZA,217161
KBL,23164434
KPG,412343324
KEY,7082872
KBC,1742273
KGL,1450030
KNL,26127829
KDR,27877794
KIN,68083886
KPL,40257411
KSL,293544879
KKO,35292738
KIS,142754
KRC,8077886
KCN,176322
KLO,319738470
KRM,9231394
KSN,264036
KME,178373
KLA,441176821
KNM,208214
KNO,298963109
KGN,354542737
KFE,66034
KKL,201151
KKT,178046
KNH,178637
KMT,34566321
KOR,2754753
KP2,437306436
KOV,179164
KTA,50941843
KRS,179704
KGD,27360252
KYK,362581530
LSA,143701
LKE,184093
LKO,184136
LHM,49442
LMW,184709
LNY,245013
LGR,279814
LAM,57604202
LBL,8800760
LAA,82191931
LRS,25157280
LCD,164993
LMG,184580
LBT,4721926
LER,47385
LEX,278016
LCY,11893279
LGD,183085
LEG,182455
LCK,1450031
LLC,184293
LPD,53914
LHC,69928314
LSH,375606346
LIC,226407
LML,6708658
LIN,282242
LAU,181455
LNU,35079877
LNK,311755307
LIO,183754
LLO,58609619
LSX,55144397
LHB,5593085
LTR,6087209
LNG,184888
LIT,8800758
LI3,375415600
LPI,353173919
LCA,374132959
LVH,344829850
LVT,274062
LCT,182001
LPE,38312851
LSR,9390155
LCM,9258833
LCE,181905
LFR,3105252
LGO,183183
LON,174121
LVE,80536691
LOV,82257125
LOM,6063611
LRM,425800872
LWP,5189894
LYL,194813
LYC,194790
MLD,26830628
M7T,3590522
MAH,196126
MRP,27904717
MQA,22399201
MQG,197202
MRN,1650700
MAQ,196571
MFG,228587
MGG,428148342
MAG,404503608
MAU,6903498
MGT,4306778
MNS,3413635
MGU,200423
MGL,45799
MAI,302451098
MAR,196574
MGP,76051972
MTL,81492
MSR,12261638
MDD,50040300
MHC,8382812
MTR,75884192
MEY,286441
MTM,264311
MZN,5965336
MCX,199804
MEU,8881285
MQR,402224439
MJP,80536725
MYE,23903347
MZZ,401123914
MCE,21476653
MAT,1650699
MXR,3413636
MXI,208176
MSP,65357
MFD,372813491
MYX,7678154
MRL,419808224
MCM,143247
MEA,319498453
MMS,202861
MXT,427805954
MCP,197981
MSG,39768453
MMR,4714650
MDR,34668920
MPL,80536726
MEB,65117
MVP,207679
MGZ,200457
MDC,88500869
MML,202746
MP1,320739662
MJC,25907394
MAY,199239
